,BTCUSDT_open,BTCUSDT_high,BTCUSDT_low,BTCUSDT_close,EMA10gtEMA30,ClGtEMA10,MACD,RSI,%K,%R,PROC,return,class
982,57051.95,58492.85,56388.0,58202.01,1,1,-4.584565601858458,57.681741530848456,79.55485017047945,-20.445149829520545,-0.00926964757261569,0.015944122891975665,1
983,58202.01,59272.0,56777.77,59129.99,1,1,-56.35658057321643,60.512635510754684,89.05073860775812,-10.949261392241874,0.00662983237303694,-0.019259938992041037,0
984,59129.99,59495.24,57413.02,57991.15,1,1,-3.6088708162733383,55.59724663621988,75.41734369087632,-24.58265630912367,-0.012419695765222482,-0.03513812021317053,0
985,57990.03,58655.0,55473.0,55953.45,1,-1,169.25602605562744,48.07281674909336,32.05519999999996,-67.94480000000004,-0.050832222081048074,0.03796137682305556,1
986,55953.44,58153.31,55700.0,58077.52,1,1,142.36597774805853,54.921444611543535,61.466624063208,-38.53337593679199,0.017976251114335366,0.0,0
987,55953.44,58153.31,55700.0,58077.52,1,1,126.91172478856299,54.921444611543535,60.694742027299974,-39.305257972700026,0.017976251114335366,0.0011195381620978662,1
988,58077.52,58894.9,57654.0,58142.54,1,1,114.99666228834303,55.13153082928205,61.89881833114506,-38.10118166885494,-0.001021786017355778,0.0279759019815784,1
989,58142.55,61500.0,57900.01,59769.13,1,1,6.0066531249023,60.13667824956248,71.28140036502403,-28.718599634975984,0.010809066600552435,0.0039033527842884386,1
990,59769.13,60699.0,59232.52,60002.43,1,1,-69.21179313198138,60.81190722862015,75.15231458437033,-24.847685415629662,0.03468253345553587,-0.002373737196976866,0
991,59998.8,61300.0,59350.59,59860.0,1,1,-95.18384427469607,60.14213391431132,72.78911564625851,-27.210884353741495,0.06981785752263718,0.062061476779151414,1
992,59860.01,63777.77,59805.15,63575.0,1,1,-334.8829388887391,69.55955914339938,97.55839114147656,-2.4416088585234377,0.09465762312164851,0.0,0
993,59860.01,63777.77,59805.15,63575.0,1,1,-458.1306941058722,69.55955914339938,97.55839114147656,-2.4416088585234377,0.09465762312164851,-0.009681006685017701,0
994,63575.01,64854.0,61301.0,62959.53,1,1,-461.6061247685866,66.53883699223303,79.8052446434282,-20.194755356571807,0.08284794575537976,0.003183791238594136,1
995,62959.53,63800.0,62020.0,63159.98,1,1,-440.84640948833544,67.04084868730564,81.94201044664752,-18.05798955335249,0.05673246373169571,-0.028897729226640023,0
996,63158.74,63520.61,60000.0,61334.8,1,1,-275.709080322358,58.443002926242244,62.48587570621471,-37.51412429378528,0.0222052673533389,-0.021653938710161302,0
997,61334.81,62506.05,59580.91,60006.66,1,-1,-59.82696636304877,53.1057863163088,48.3281100095939,-51.6718899904061,0.002450050116939584,-0.06427036598937519,0
